image,actual,rater,estimate,method,error,abs_error
set_15_13_obj1.png,14.57,R2NEW,16,aidednew,1.4299999999999997,1.4299999999999997
set_15_13_obj2.png,6.97,R1OLD,7.5,aidedold,0.5300000000000002,0.5300000000000002
set_15_13_obj2.png,6.97,R2OLD,10,aidedold,3.0300000000000002,3.0300000000000002
set_15_13_obj2.png,6.97,R1NEW,15,aidednew,8.030000000000001,8.030000000000001
set_15_13_obj2.png,6.97,R2NEW,12,aidednew,5.03,5.03
set_15_13_obj4.png,1.81,R1OLD,0.6,aidedold,-1.21,1.21
set_15_13_obj4.png,1.81,R2OLD,1.2,aidedold,-0.6100000000000001,0.6100000000000001
set_15_13_obj4.png,1.81,R1NEW,0.6,aidednew,-1.21,1.21
set_15_13_obj4.png,1.81,R2NEW,0.7,aidednew,-1.11,1.11
set_15_17_obj0.png,14,R1OLD,18,aidedold,4,4
set_15_17_obj0.png,14,R2OLD,27,aidedold,13,13
set_15_17_obj0.png,14,R1NEW,20,aidednew,6,6
set_15_17_obj0.png,14,R2NEW,30,aidednew,16,16
set_15_17_obj1.png,12.01,R1OLD,9,aidedold,-3.01,3.01
set_15_17_obj1.png,12.01,R2OLD,7,aidedold,-5.01,5.01
set_15_17_obj1.png,12.01,R1NEW,9.5,aidednew,-2.51,2.51
set_15_17_obj1.png,12.01,R2NEW,7.5,aidednew,-4.51,4.51
set_15_17_obj2.png,8.75,R1OLD,10,aidedold,1.25,1.25
set_15_17_obj2.png,8.75,R2OLD,4.5,aidedold,-4.25,4.25
set_15_17_obj2.png,8.75,R1NEW,13,aidednew,4.25,4.25
set_15_17_obj2.png,8.75,R2NEW,5,aidednew,-3.75,3.75
set_15_20_obj2.png,29.86,R1OLD,14,aidedold,-15.86,15.86
set_15_20_obj2.png,29.86,R2OLD,15,aidedold,-14.86,14.86
set_15_20_obj2.png,29.86,R1NEW,20,aidednew,-9.86,9.86
set_15_20_obj2.png,29.86,R2NEW,17,aidednew,-12.86,12.86
set_15_21_obj0.png,11.04,R1OLD,5.5,aidedold,-5.539999999999999,5.539999999999999
set_15_21_obj0.png,11.04,R2OLD,7,aidedold,-4.039999999999999,4.039999999999999
set_15_21_obj0.png,11.04,R1NEW,5,aidednew,-6.039999999999999,6.039999999999999
set_15_21_obj0.png,11.04,R2NEW,10,aidednew,-1.0399999999999991,1.0399999999999991
set_15_21_obj1.png,1.08,R1OLD,1.5,aidedold,0.41999999999999993,0.41999999999999993
set_15_21_obj1.png,1.08,R2OLD,3,aidedold,1.92,1.92
set_15_21_obj1.png,1.08,R1NEW,1,aidednew,-0.08000000000000007,0.08000000000000007
set_15_21_obj1.png,1.08,R2NEW,5,aidednew,3.92,3.92
set_15_22_obj1.png,7.6,R1OLD,4,aidedold,-3.5999999999999996,3.5999999999999996
set_15_22_obj1.png,7.6,R2OLD,3.5,aidedold,-4.1,4.1
set_15_22_obj1.png,7.6,R1NEW,3,aidednew,-4.6,4.6
set_15_22_obj1.png,7.6,R2NEW,4,aidednew,-3.5999999999999996,3.5999999999999996
set_15_22_obj2.png,1.3,R1OLD,0.3,aidedold,-1,1
set_15_22_obj2.png,1.3,R2OLD,0.36,aidedold,-0.9400000000000001,0.9400000000000001
set_15_22_obj2.png,1.3,R1NEW,0.2,aidednew,-1.1,1.1
set_15_22_obj2.png,1.3,R2NEW,0.3,aidednew,-1,1
set_15_22_obj3.png,0,R1OLD,0,aidedold,0,0
set_15_22_obj3.png,0,R2OLD,0,aidedold,0,0
set_15_22_obj3.png,0,R1NEW,0,aidednew,0,0
set_15_22_obj3.png,0,R2NEW,0,aidednew,0,0
set_15_24_obj0.png,17.18,R1OLD,12,aidedold,-5.18,5.18
set_15_24_obj0.png,17.18,R2OLD,14,aidedold,-3.1799999999999997,3.1799999999999997
set_15_24_obj0.png,17.18,R1NEW,12.5,aidednew,-4.68,4.68
set_15_24_obj0.png,17.18,R2NEW,14,aidednew,-3.1799999999999997,3.1799999999999997
set_15_24_obj3.png,10.6,R1OLD,1,aidedold,-9.6,9.6
set_15_24_obj3.png,10.6,R2OLD,5.5,aidedold,-5.1,5.1
set_15_24_obj3.png,10.6,R1NEW,1,aidednew,-9.6,9.6
set_15_24_obj3.png,10.6,R2NEW,5,aidednew,-5.6,5.6
set_15_25_obj0.png,5.74,R1OLD,7,aidedold,1.2599999999999998,1.2599999999999998
set_15_25_obj0.png,5.74,R2OLD,7.5,aidedold,1.7599999999999998,1.7599999999999998
set_15_25_obj0.png,5.74,R1NEW,7,aidednew,1.2599999999999998,1.2599999999999998
set_15_25_obj0.png,5.74,R2NEW,7,aidednew,1.2599999999999998,1.2599999999999998
set_15_25_obj1.png,11.21,R1OLD,15,aidedold,3.789999999999999,3.789999999999999
set_15_25_obj1.png,11.21,R2OLD,5,aidedold,-6.210000000000001,6.210000000000001
set_15_25_obj1.png,11.21,R1NEW,15,aidednew,3.789999999999999,3.789999999999999
set_15_25_obj1.png,11.21,R2NEW,3.5,aidednew,-7.710000000000001,7.710000000000001
set_15_25_obj2.png,6.27,R1OLD,1.2,aidedold,-5.069999999999999,5.069999999999999
set_15_25_obj2.png,6.27,R2OLD,1,aidedold,-5.27,5.27
set_15_25_obj2.png,6.27,R1NEW,1,aidednew,-5.27,5.27
set_15_25_obj2.png,6.27,R2NEW,1,aidednew,-5.27,5.27
set_15_31_obj1.png,39.96,R1OLD,50,aidedold,10.04,10.04
set_15_31_obj1.png,39.96,R2OLD,60,aidedold,20.04,20.04
set_15_31_obj1.png,39.96,R1NEW,50,aidednew,10.04,10.04
set_15_31_obj1.png,39.96,R2NEW,55,aidednew,15.04,15.04
set_15_38_obj2.png,27.81,R1OLD,40,aidedold,12.190000000000001,12.190000000000001
set_15_38_obj2.png,27.81,R2OLD,46,aidedold,18.19,18.19
set_15_38_obj2.png,27.81,R1NEW,48,aidednew,20.19,20.19
set_15_38_obj2.png,27.81,R2NEW,45,aidednew,17.19,17.19
set_15_6_obj0.png,5.57,R1OLD,2,aidedold,-3.5700000000000003,3.5700000000000003
set_15_6_obj0.png,5.57,R2OLD,1,aidedold,-4.57,4.57
set_15_6_obj0.png,5.57,R1NEW,3,aidednew,-2.5700000000000003,2.5700000000000003
set_15_6_obj0.png,5.57,R2NEW,1.5,aidednew,-4.07,4.07
set_15_6_obj1.png,1.89,R1OLD,1,aidedold,-0.8899999999999999,0.8899999999999999
set_15_6_obj1.png,1.89,R2OLD,1,aidedold,-0.8899999999999999,0.8899999999999999
